player,rank,points,url_perfil
A. Andrade,252,219,https://www.atptour.com/en/players/andres-andrade/ag08/overview
I. Gakhov,253,219,https://www.atptour.com/en/players/ivan-gakhov/ge28/overview
E. Butvilas,254,217,https://www.atptour.com/en/players/edas-butvilas/b0mm/overview
P. Martin Tiffon,255,215,https://www.atptour.com/en/players/pol-martin-tiffon/m0ea/overview
P. Boscardin Dias,256,213,https://www.atptour.com/en/players/pedro-boscardin-dias/b0fi/overview
P. Zahraj,257,209,https://www.atptour.com/en/players/patrick-zahraj/z09f/overview
G. Heide,258,207,https://www.atptour.com/en/players/gustavo-heide/h0du/overview
C. Broom,259,206,https://www.atptour.com/en/players/charles-broom/bv21/overview
D. Michalski,260,206,https://www.atptour.com/en/players/daniel-michalski/m0e1/overview
J. Shang,261,205,https://www.atptour.com/en/players/juncheng-shang/s0re/overview
F. Agamenone,262,204,https://www.atptour.com/en/players/franco-agamenone/aa27/overview
M. Kukushkin,263,203,https://www.atptour.com/en/players/mikhail-kukushkin/k926/overview
F. Sun,264,202,https://www.atptour.com/en/players/fajing-sun/sx90/overview
D. Kuzmanov,265,202,https://www.atptour.com/en/players/dimitar-kuzmanov/kc33/overview
G. Blancaneaux,266,201,https://www.atptour.com/en/players/geoffrey-blancaneaux/bu54/overview
S. Gueymard Wayenburg,267,201,https://www.atptour.com/en/players/sascha-gueymard-wayenburg/g0gw/overview
N. Kicker,268,200,https://www.atptour.com/en/players/nicolas-kicker/kc29/overview
T. Pereira,269,200,https://www.atptour.com/en/players/tiago-pereira/p0k4/overview
A. Martin,270,198,https://www.atptour.com/en/players/andres-martin/m0np/overview
F. Bax,271,197,https://www.atptour.com/en/players/florent-bax/b0bu/overview
S. Kozlov,272,196,https://www.atptour.com/en/players/stefan-kozlov/ke64/overview
D. Blanch,273,195,https://www.atptour.com/en/players/darwin-blanch/b0no/overview
N. Sanchez Izquierdo,274,194,https://www.atptour.com/en/players/nikolas-sanchez-izquierdo/s0gz/overview
S. Sakellaridis,275,193,https://www.atptour.com/en/players/stefanos-sakellaridis/s0kt/overview
H. Wendelken,276,193,https://www.atptour.com/en/players/harry-wendelken/w0ah/overview
D. Rincon,277,191,https://www.atptour.com/en/players/daniel-rincon/r0fp/overview
M. Dellien,278,186,https://www.atptour.com/en/players/murkel-dellien/dc48/overview
S. Purtseladze,279,185,https://www.atptour.com/en/players/saba-purtseladze/p0ea/overview
J. Varillas,280,184,https://www.atptour.com/en/players/juan-pablo-varillas/v836/overview
A. Nedic,281,184,https://www.atptour.com/en/players/andrej-nedic/n0db/overview
L. Broady,282,184,https://www.atptour.com/en/players/liam-broady/bi23/overview
K. Nishikori,283,182,https://www.atptour.com/en/players/kei-nishikori/n552/overview
F. Diaz Acosta,284,182,https://www.atptour.com/en/players/facundo-diaz-acosta/d0cg/overview
Y. Uchiyama,285,182,https://www.atptour.com/en/players/yasutaka-uchiyama/u134/overview
P. Brunclik,286,181,https://www.atptour.com/en/players/petr-brunclik/b0ov/overview
B. Hassan,287,180,https://www.atptour.com/en/players/benjamin-hassan/hg94/overview
F. Andaloro,288,180,https://www.atptour.com/en/players/fabrizio-andaloro/a0f3/overview
M. Pucinelli De Almeida,289,180,https://www.atptour.com/en/players/matheus-pucinelli-de-almeida/p0df/overview
R. Bertrand,290,180,https://www.atptour.com/en/players/robin-bertrand/b0jj/overview
L. Marmousez,291,179,https://www.atptour.com/en/players/lilian-marmousez/m0gy/overview
B. Zhukayev,292,178,https://www.atptour.com/en/players/beibit-zhukayev/z09z/overview
H. Barton,293,178,https://www.atptour.com/en/players/hynek-barton/b0ou/overview
C. Hemery,294,177,https://www.atptour.com/en/players/calvin-hemery/hb48/overview
M. Rosenkranz,295,177,https://www.atptour.com/en/players/mats-rosenkranz/rh62/overview
A. Rybakov,296,176,https://www.atptour.com/en/players/alex-rybakov/rg42/overview
S. Nagal,297,175,https://www.atptour.com/en/players/sumit-nagal/n897/overview
N. Gombos,298,175,https://www.atptour.com/en/players/norbert-gombos/gb93/overview
M. Geerts,299,173,https://www.atptour.com/en/players/michael-geerts/gg65/overview
J. Berrettini,300,172,https://www.atptour.com/en/players/jacopo-berrettini/bu10/overview
M. Jones,301,172,https://www.atptour.com/en/players/maximus-jones/j0d2/overview
A. Santillan,302,172,https://www.atptour.com/en/players/akira-santillan/sq80/overview
P. Bar Biryukov,303,172,https://www.atptour.com/en/players/petr-bar-biryukov/b0lq/overview
S. Kopp,304,171,https://www.atptour.com/en/players/sandro-kopp/k0cj/overview
M. Damas,305,168,https://www.atptour.com/en/players/miguel-damas/d0cn/overview
G. Cadenasso,306,166,https://www.atptour.com/en/players/gianluca-cadenasso/c0nn/overview
G. Johns,307,166,https://www.atptour.com/en/players/garrett-johns/j0b5/overview
K. Smith,308,165,https://www.atptour.com/en/players/keegan-smith/s0dq/overview
E. Coulibaly,309,164,https://www.atptour.com/en/players/eliakim-coulibaly/c0hb/overview
D. Dedura,310,164,https://www.atptour.com/en/players/diego-dedura/d0lj/overview
P. Henning,311,160,https://www.atptour.com/en/players/philip-henning/h0bf/overview
G. Onclin,312,160,https://www.atptour.com/en/players/gauthier-onclin/o0a2/overview
G. Boitan,313,159,https://www.atptour.com/en/players/gabi-adrian-boitan/b0c0/overview
M. Erhard,314,159,https://www.atptour.com/en/players/mathys-erhard/e0ac/overview
C. Stebe,315,158,https://www.atptour.com/en/players/cedrik-marcel-stebe/sk94/overview
R. Tokuda,316,157,https://www.atptour.com/en/players/renta-tokuda/td55/overview
M. Soto,317,157,https://www.atptour.com/en/players/matias-soto/s0ek/overview
A. Shelbayh,318,156,https://www.atptour.com/en/players/abdullah-shelbayh/s0nv/overview
Z. Zhang,319,155,https://www.atptour.com/en/players/zhizhen-zhang/z371/overview
D. Dutra da Silva,320,155,https://www.atptour.com/en/players/daniel-dutra-da-silva/sg56/overview
M. Mrva,321,154,https://www.atptour.com/en/players/maxim-mrva/m0se/overview
F. Gill,322,152,https://www.atptour.com/en/players/felix-gill/g0eu/overview
S. Fomin,323,151,https://www.atptour.com/en/players/sergey-fomin/f0a3/overview
O. Tarvet,324,150,https://www.atptour.com/en/players/oliver-tarvet/t0gr/overview
V. Durasovic,325,150,https://www.atptour.com/en/players/viktor-durasovic/dc76/overview
G. Hussey,326,150,https://www.atptour.com/en/players/giles-hussey/h0dc/overview
T. Zink,327,150,https://www.atptour.com/en/players/tyler-zink/z0ak/overview
A. Martin,328,149,https://www.atptour.com/en/players/andrej-martin/mf35/overview
